aluguel,areaTotal,areaUsavel,bairro,banheiros,cidade,codImovel,condominio,garagem,idadeImovel,lat,lon,quartos,suite,valorDeVenda
7500.0,240,240,Cambuí,5,Campinas,2946978252,2700.0,3,1,-22.8962099,-47.0551088,4,3,0.0
1300.0,65,65,Água Fria,1,São Paulo,2947942048,0.0,0,NaN,-23.4840035,-46.6143796,2,0,0.0
1800.0,400,40,Jardins,1,São Paulo,2948155947,1800.0,1,20,-23.5691649,-46.6580016,1,1,0.0
2700.0,137,137,Notre Dame,3,Campinas,2945013049,1688.0,2,21,-22.89029,-47.0078877,3,1,0.0
850.0,40,40,Jardim Magnólia,1,Campinas,2948672235,0.0,0,1,-22.9020144,-47.0994888,1,0,0.0
3000.0,33,33,Brooklin,1,São Paulo,2948383454,479.0,1,NaN,-23.6154236,-46.6859729,1,0,0.0
3000.0,48,48,Vila Mariana,2,São Paulo,2948609076,850.0,1,3,-23.5761623,-46.63427079999997,1,1,0.0
1550.0,30,30,Centro,1,São Paulo,2948768137,349.0,0,NaN,-23.53884,-46.641832,1,0,0.0
2500.0,100,100,Brooklin Paulista,2,São Paulo,2948927629,860.0,1,32,16.0,22.0,3,1,0.0
6000.0,57,57,Jardim Paulista,1,São Paulo,2948776751,300.0,0,NaN,-23.5658691,-46.655712,1,1,0.0
2180.0,57,57,Vila Carrão,1,São Paulo,2948219394,422.0,1,NaN,-23.5528162,-46.522893,2,0,0.0
2850.0,48,48,Jardins,1,São Paulo,2938266828,1000.0,1,20,-23.5616301,-46.6539945,1,1,0.0
900.0,55,55,Cangaíba,1,São Paulo,2948833301,400.0,1,NaN,-23.4961879,-46.5112159,2,0,0.0
1200.0,40,40,Itaquera,1,São Paulo,2948607630,90.0,0,NaN,-23.5218241,-46.4386327,2,0,0.0
930.0,61,61,Anchieta,1,São Bernardo do Campo,2948616254,350.0,1,NaN,-23.6721269,-46.5603416,2,0,0.0
2150.0,80,80,Cangaíba,2,São Paulo,2947784849,367.0,1,NaN,-23.5106126,-46.5203932,3,1,0.0
1850.0,20,20,Chácara Santo Antônio,1,São Paulo,2929052910,1.0,0,4,-23.6271033,-46.693721100000005,1,1,0.0
1210.0,40,40,Itaquera,1,São Paulo,2948607643,90.0,0,NaN,-23.5218241,-46.4386327,2,0,0.0
